"source";"translation";"type";"module";"status";"customer"
"Parent username";"Stariji korisničko ime";"S";"";"T";"N"
"Parent first name";"Stariji ime";"S";"";"T";"N"
"Parent last name";"Stariji prezime";"S";"";"T";"N"
"AffiliatesImportExportDescription";"Podaci partnera – možete koristiti za ubacivanje novih partnera u sistem";"B";"";"T";"N"
"Status successfully set to selected url(s)";"Status je uspešno podešen na izabrani(e) url(ove)";"S";"";"T";"N"
"Failed to set status selected url(s)";"Postavljanje statusa izabrane(im) url(ovima) nije uspelo";"S";"";"T";"N"
"Commission group";"grupa provizije";"B";"";"T";"N"
"Selected commission group(s) are changed";"Izabrana grupa(e) provizije(a) je(su) promenjena(e)";"S";"";"T";"N"
"Changes saved";"Promene sačuvane";"S";"";"T";"N"
"Application Name";"Post Affiliate Pro";"S";"";"T";"N"
"New password URL";"URL za novu lozinku";"S";"";"T";"N"
"Request valid until";"Zahtev važi do";"S";"";"T";"N"
"Request new password";"Zahtev za novu lozinku";"B";"";"T";"N"
"Wrong username/password";"Pogrešno korisničko ime / lozinka";"S";"";"T";"N"
"Select account";"Izaberite nalog";"B";"";"T";"N"
"Authentication failed";"Identifikovanje nije ispelo";"S";"";"T";"N"
"User authenticated. Logging in.";"Korisnik je identifikovan. Prijava u toku.";"S";"";"T";"N"
"You entered invalid username";"Korisničko ime nije ispravno";"S";"";"T";"N"
"Within a few minutes you will receive instructions on how to reset your password.";"Za nekoliko minuta na vaš email će stići instrukcije kako da postavite novu lozinku.";"S";"";"T";"N"
"Your password was changed. Go back to login dialog and login.";"Vaša lozinka je promenjena. Vratite se na stranicu za prijavu o prijavite se.";"S";"";"T";"N"
"Logout error";"Greška pri odjavi";"S";"";"T";"N"
"Logout successful";"Odjavili ste se uspešno";"S";"";"T";"N"
"Invalid password request. You have to request again new password before trying to set password.";"Zahtev za lozinku nije validan. Pre nego što odredite novu lozinku morate zatražiti promenu lozinke.";"S";"";"T";"N"
"User account not approved yet";"Korisnički nalog još nije odobren";"S";"";"T";"N"
"Unsupported";"Nije podržano";"S";"";"T";"N"
"Import file is not defined";"Fajl za uvoz nije određen";"S";"";"T";"N"
"Export data";"Izvezite podatke";"B";"";"T";"N"
"Data was successfully exported to file %s";"Podaci su uspešno izvezeni u fajl %s";"S";"";"T";"N"
"File name";"Ime fajla";"B";"";"T";"N"
"Modules";"Moduli";"S";"";"T";"N"
"Size";"Veličina";"S";"";"T";"N"
"Could not create account. (%s)";"Nije moguće kreirati nalog (%s)";"S";"";"T";"N"
"Directory %s is not writable by web server user. Please remove it or set write permissions.";"Direktorijum %s nema dozvole za pisanje. Molimo vas da ovo uklonite ili da postavite dozvole za pisanje (chmod).";"S";"";"T";"N"
"Failed to delete %s filter(s)";"Brisanje filtera %s nije uspelo";"S";"";"T";"N"
"%s filter(s) successfully deleted";"%s filter(i) uspešno obrisan(i)";"S";"";"T";"N"
"Failed to load default mail account. Please check your mail account settings.";"Nije uspelo učitavanje osnovnog mail naloga. Proverite podešavanje naloga.";"S";"";"T";"N"
"View name must be unique";"Ime pogleda mora biti jedinstvaeno";"S";"";"T";"N"
"Maximum length of %s in %s is %s";"Maksimalna dižina %s u %s je %s";"S";"";"T";"N"
"Relation constraint";"Konstanta relacije";"S";"";"T";"N"
"must be unique";"mora biti jedinstveno";"S";"";"T";"N"
"Error changing theme";"Greška u promeni teme";"S";"";"T";"N"
"Theme changed";"Tema je promenjena";"S";"";"T";"N"
"Failed to delete %s wallpaper(s)";"Brisanje %s pozadine(a)  nije uspelo";"S";"";"T";"N"
"%s wallpaper(s) successfully deleted";"%s pozadina(e) uspešno obrisana(e)";"S";"";"T";"N"
"Failed to save wallpaper with error %s";"Pozadina nije sačuvana. Greška %s";"S";"";"T";"N"
"Wallpaper saved.";"Pozadina sačuvana";"S";"";"T";"N"
"Side bar saved";"Side bar je sačuvan";"S";"";"T";"N"
"Windows saved";"Prozori sačuvani";"S";"";"T";"N"
"Quick Launch saved";"Brzo biranje sačuvano";"S";"";"T";"N"
"File does not exist";"Fajl ne postoji";"S";"";"T";"N"
"File was successfully uploaded";"Fajl je uspešno podignut";"S";"";"T";"N"
"Unsupported gadget";"Spravica nije podržana";"S";"";"T";"N"
"Gadget";"Spravica";"B";"";"T";"N"
"Gadget added";"Spravica je dodata";"S";"";"T";"N"
"Failed to close gadget";"Zatvaranje spravice nije uspelo";"S";"";"T";"N"
"Gadget successfully closed";"Spravica je uspešno zatvorena";"S";"";"T";"N"
"Docking";"Parkiranje";"S";"";"T";"N"
"Gadgets saved";"Spravica je sačuvana";"S";"";"T";"N"
"Create Account";"Kreirajte nalog";"B";"";"T";"N"
"Create Database";"Kreirajte bazu podataka";"B";"";"T";"N"
"Could not create database. %s";"Nije moguće kreirati bazu podataka. %s";"S";"";"T";"N"
"doesnt exist's";"ne postoji";"S";"";"T";"N"
"advanced search";"napredna pretraga";"C";"";"T";"N"
"Error during database creation.";"Greška u toku kreiranje baze podataka.";"S";"";"T";"N"
"OK";"Uredu";"B";"";"T";"N"
"Failed to read headers of CSF file %s";"Nije uspelo čitanje heada CSF fajla %s";"S";"";"T";"N"
"Could not change permissions %s";"Dozvole nisu mogle biti promenjene %s";"S";"";"T";"N"
"Could not open file";"Nije moguće otvoriti fajl";"S";"";"T";"N"
"Could not read file";"Nije moguće pročitati fajl";"S";"";"T";"N"
"Rewind unsupported in this file stream";"Premotavanje nije podržano u ovom strimingu";"S";"";"T";"N"
"File %s does not exist.";"Fajl %s ne postoji";"S";"";"T";"N"
"Failed to read file %s";"Nije uspelo čitanje fajla %s";"S";"";"T";"N"
"Could not create directory %s";"Nije moguće kreirati direktorijum %s";"S";"";"T";"N"
"Level";"Nivo";"S";"";"T";"N"
"Message";"Poruka";"B";"";"T";"N"
"File";"Fajl";"S";"";"T";"N"
"Line";"Linija";"B";"";"T";"N"
"Group ID";"ID Grupe";"B";"";"T";"N"
"Log event";"Log dešavanja";"S";"";"T";"N"
"Event(s) are deleted";"Dešavanje(a) obrisano(a)";"S";"";"T";"N"
"No event(s) to delete";"Nema dešavanja za brisanje";"S";"";"T";"N"
"Debug event(s) are deleted";"Dešavanje(a) debagovanja obrisano";"S";"";"T";"N"
"No debug event(s) to delete";"Nema dešavanja koji su za brisanje";"S";"";"T";"N"
"Mail Account Name";"Ime mail naloga";"S";"";"T";"N"
"From Name";"Od ime";"B";"";"T";"N"
"From Email";"Od Email";"S";"";"T";"N"
"Use SMTP protocol";"Koristite SMTP protokol";"S";"";"T";"N"
"SMTP Server";"SMTP Server";"B";"";"N";"N"
"SMTP Port";"SMTP Port";"B";"";"N";"N"
"SMTP Authentication";"SMTP Identifikacija";"S";"";"T";"N"
"Use SSL connection";"Koristite SSL konekciju";"S";"";"T";"N"
"SMTP Username";"SMTP Korisničko ime";"S";"";"T";"N"
"Is default mail account";"Osnovni email nalog";"S";"";"T";"N"
"Yes";"Da";"B";"";"T";"N"
"No";"Ne";"B";"";"T";"N"
"Email account test mail";"Test za Email nalog";"B";"";"T";"N"
"Default Mail Account";"Osnovni EMail nalog";"S";"";"T";"N"
"Email settings saved";"Podešavanja emaila su sačuvana";"S";"";"T";"N"
"Test mail scheduled, check outbox if it was sent.";"Test poruka je kreirana, proverite da li je  poslata.";"S";"";"T";"N"
"Failed to restart %s row(s)";"Restartovanje %s reda(ova) nije uspelo ";"S";"";"T";"N"
"%s row(s) successfully restarted";"%s red(ovi) uspešno restartovani";"S";"";"T";"N"
"To recipients";"Za primaoce";"S";"";"T";"N"
"Mail subject";"Tema poruke";"S";"";"T";"N"
