"source";"translation";"type";"module";"status";"customer"
"Affiliate - New Subaffiliate Sale / Lead";"Afilātei - Jauna apakšpartnera pārdošana / Piesaiste";"B";"";"T";"Y"
"New subaffiliate sale / lead";"Jauna apakšpartnera pārdošana/ Piesaiste";"B";"";"T";"Y"
"Affiliate - New Subaffiliate signup";"Partnerim - Jauna apakšpartnera reģistrācija";"B";"";"T";"Y"
"New subaffiliate signed up";"Jauna apakšpartnera reģistrēšanās";"B";"";"T";"Y"
"VAT percentage";"PVN procents";"B";"";"T";"Y"
"VAT number";"PVN numurs";"B";"";"T";"Y"
"Registration number";"Reģistrācijas numurs";"B";"";"T";"Y"
"VAT part";"PVN daļa";"B";"";"T";"Y"
"Affiliate - On VAT payout";"Partnerim - uz PVN izmaksu";"B";"";"T";"Y"
"Transaction ID";"Transakcijas ID";"B";"";"T";"N"
"TotalCost";"Kopējā summa";"S";"";"T";"N"
"Campaign ID";"Kampaņas ID";"S";"";"T";"N"
"Referer URL";"Referāļa URL";"S";"";"T";"N"
"First click - time";"Pirmā klikšķa laiks";"S";"";"T";"N"
"First click - referer";"Pirmā klikšķa referālis";"S";"";"T";"N"
"First click - IP";"Pirmā klikšķa IP";"S";"";"T";"N"
"First click - data1";"Pirmais klikšķis - data 1";"S";"";"T";"N"
"First click - data2";"Pirmais klikšķis - data 2";"S";"";"T";"N"
"Last click - time";"Pirmais klikšķis - laiks";"S";"";"T";"N"
"Last click - referer";"Pirmais klikšķis - referālis";"S";"";"T";"N"
"Last click - IP";"Pēdējais klikšķis - IP";"S";"";"T";"N"
"Last click - data1";"Pēdējais klikšķis - data 1";"S";"";"T";"N"
"Last click - data2";"Pēdējais klikšķis - data 2";"S";"";"T";"N"
"Transaction data1";"Transakcijas dati1";"S";"";"T";"N"
"Transaction data2";"Transakcijas dati2";"S";"";"T";"N"
"Transaction data3";"Transakcijas dati3";"S";"";"T";"N"
"Transaction data4";"Transakcijas dati4";"S";"";"T";"N"
"Transaction data5";"Transakcijas dati5";"S";"";"T";"N"
"Note to merchant";"Ziņa tirgotājam (merchant)";"S";"";"T";"N"
"Original currency";"Orģinālā valūta";"S";"";"T";"N"
"Banner does not exist";"Baneris neeksistē";"S";"";"T";"N"
"Server error: Unknown type given for BannerForm._save()";"Servera kļūda: Nezināms tips piešķirts BannerForm._save()";"S";"";"T";"N"
"Banner was saved";"Baneris saglabāts";"S";"";"T";"N"
"Clicks";"Klikšķi";"B";"";"T";"Y"
"CTR";"CTR ";"S";"";"T";"N"
"Order";"Pasūtījums";"B";"";"T";"Y"
"Campaign does not exist";"Kampaņa neeksistē";"S";"";"T";"N"
"Campaign capping saved";"Kampaņas ierobežojumi saglabāti";"S";"";"T";"N"
"Number of transactions in 'Active until' campaign validity has to be set";"Kampaņas derīgumam nepieciešams iestatīt 'Aktīvs līdz' transakciju";"S";"";"T";"N"
"There are missing From and To dates for 'Active in date range' campaign validity";"Trūkst datu Formas un No / Līdz laukiem par 'Aktīvs dotajā laika periodā' kampaņā";"S";"";"T";"N"
"Commission successfully computed";"Komisijas sekmīgi samaksātas";"S";"";"T";"N"
"User is not valid!";"Lietotājs nav derīgs!!";"S";"";"T";"N"
"Campaign is not valid!";"Kampaņa nav derīga!";"S";"";"T";"N"
"Transaction type is not valid or doesn't exist in this campaign!";"Transakcijas tips nav derīgs vai arī šajā kampaņā neeksistē!!";"S";"";"T";"N"
"Cannot recognize commission group for this user in campaign!";"Nav iespējams noteikt komisiju grupu šim kampaņas lietotājam!";"S";"";"T";"N"
"Error getting commission settings!";"Kļūda komisiju uzstādījumos!";"S";"";"T";"N"
"You cannot delete default campaign";"Jūs nevarat dzēst noklusējuma kampaņu";"S";"";"T";"N"
"Default";"Noklusējuma";"B";"";"T";"Y"
"per sale / lead";"par pārdošanu / piesaisti";"B";"";"T";"Y"
"CampaignsImportExportDescription";"Kampaņu Importa Eksporta Apraksts";"B";"";"T";"Y"
"loadCommissionGroups: campaignId is empty";"loadCommissionGroups: campaignId ir tukšs";"S";"";"T";"N"
"Campaign ID cannot be empty!";"Kampaņas ID nevar palikt tukšs!";"S";"";"T";"N"
"CommissionTypeId (Id) cannot be empty!";"CommissionTypeId (Id) nevar palikt neaizpildīts!";"S";"";"T";"N"
"CommissionGroupId cannot be empty!";"CommissionGroupId nevar palikt neaizpildīts!";"S";"";"T";"N"
"Commission type does not exist";"Komisiju tips neeksistē";"S";"";"T";"N"
"Commissions saved successfully";"Komisijas veiksmīgi saglabātas";"S";"";"T";"N"
"Field 'type' does not exist";"Lauks 'tips' neeksistē";"S";"";"T";"N"
"Failed to change status";"Neizdevās nomainīt statusu";"S";"";"T";"N"
"Status successfully changed";"Statuss veiksmīgi nomainīts";"S";"";"T";"N"
"Affiliate screen";"Partneru ekrāns";"S";"";"T";"N"
"Affiliate panel menu saved";"Partneru paneļa izvēlne saglabāta";"S";"";"T";"N"
"Error changing default theme";"Kļūda nomainot noklusējuma tēmu";"S";"";"T";"N"
"Default theme changed";"Noklusējuma tēma izmainīta";"S";"";"T";"N"
"Program name and logo saved";"Programmas vārds un logotips saglabāts";"S";"";"T";"N"
"Affiliate signup settings saved";"Partneru reģistrācijas iestatījumi saglabāti";"S";"";"T";"N"
"Banner format successfully saved";"Banera formāts";"S";"";"T";"N"
"Cookies settings saved";"Sīkdatnes iestatījumi saglabāti";"S";"";"T";"N"
"Symbol";"Simbols";"B";"";"T";"Y"
"Precision";"Precizitāte";"B";"";"T";"Y"
"Where to display";"Kur atainot";"B";"";"T";"Y"
"Exchange rate";"Maiņas kurss";"S";"";"T";"N"
"Currency";"Valūta";"B";"";"T";"Y"
"Fraud protections saved";"Aizsardzība pret krāpšanu saglabāta";"S";"";"T";"N"
"Logging saved";"Ielogošanās saglabāta";"S";"";"T";"N"
"Parameter names saved";"Parametru nosaukumi saglabāti";"S";"";"T";"N"
"Tracking saved";"Izsekošana (tracking) saglabāta";"S";"";"T";"N"
"Affiliates successfully paid";"Maksājums partneriem paveikts sekmīgi";"S";"";"T";"N"
"Email";"e-pasts";"B";"";"T";"Y"
"VAT";"PVN";"S";"";"T";"N"
"To pay";"Izmaksāt";"S";"";"T";"Y"
"Declined";"Atteikts";"B";"";"T";"N"
"Minimum payout";"Minimālā izmaksa";"S";"";"T";"Y"
"Payout data";"Izmaksu datums";"B";"";"T";"N"
"N/A";"N/P";"S";"";"T";"N"
"New payout option";"Jauns izmaksu veids";"S";"";"T";"N"
"New payout option %s";"Jauns izmaksu veids %s";"S";"";"T";"N"
"Payout option";"Izmaksu veids";"B";"";"T";"N"
"Payout history";"Izmaksu vēsture";"B";"";"T";"Y"
"Date paid";"Izmaksas datums";"S";"";"T";"N"
"Payees";"Maksājumu saņēmēji";"S";"";"T";"N"
"Total amount";"Kopējais apjoms";"S";"";"T";"N"
"Affiliate note";"Partneru piezīme";"B";"";"T";"N"
"Date";"Datums";"B";"";"T";"N"
"Data 1";"Dati 1";"B";"";"T";"N"
"Data 2";"Dati 2";"B";"";"T";"N"
"Clicks unique";"unikālie klikšķi";"S";"";"T";"Y"
"Impressions unique";"Unikālās impresijas";"S";"";"T";"N"
"Table name";"Tabulas nosaukums";"S";"";"T";"N"
"Records";"Ieraksti";"S";"";"T";"N"
"Total size";"Kopējais izmērs";"S";"";"T";"N"
"Data size";"Datu izmērs";"S";"";"T";"N"
"Index size";"Indeksa izmērs";"S";"";"T";"N"
"Transaction";"Transakcija";"B";"";"T";"N"
"Payout status";"Izmaksas statuss";"B";"";"T";"N"
"Data 3";"Dati 3";"B";"";"T";"N"
"Data 4";"Dati 4";"B";"";"T";"N"
"Data 5";"Dati 5";"B";"";"T";"N"
