"source";"translation";"type";"module";"status";"customer"
"Debug event(s) are deleted";"Отладочные события удалены";"S";"";"T";"N"
"No debug event(s) to delete";"Нет отладочных событий для удаления";"S";"";"T";"N"
"Mail Account Name";"Название почтовой учетной записи";"S";"";"T";"N"
"From Name";"Имя отправителя";"B";"";"T";"N"
"From Email";"Адрес отправителя";"S";"";"T";"N"
"Use SMTP protocol";"Использовать протокол SMTP";"S";"";"T";"N"
"SMTP Server";"SMTP сервер";"B";"";"T";"N"
"SMTP Port";"SMTP порт";"B";"";"T";"N"
"SMTP Authentication";"SMTP аутентификация";"S";"";"T";"N"
"Use SSL connection";"Использовать безопасное соединение";"S";"";"T";"N"
"SMTP Username";"Имя пользователя SMTP";"S";"";"T";"N"
"Is default mail account";"Почтовая учетная запись по умолчанию";"S";"";"T";"N"
"Yes";"Да";"B";"";"T";"N"
"No";"Нет";"B";"";"T";"N"
"Email account test mail";"Тестовое сообщение почтовой учетной записи";"B";"";"T";"N"
"Default Mail Account";"Почтовая учетная запись по умолчанию";"S";"";"T";"N"
"Email settings saved";"Настойки электронной почты сохранены";"S";"";"T";"N"
"Test mail scheduled, check outbox if it was sent.";"Тестовое сообщение поставлено в очередь, откройте Отправленные, чтобы проверить, отправлено ли оно.";"S";"";"T";"N"
"Failed to restart %s row(s)";"Не удалось начать заново %s строк";"S";"";"T";"N"
"%s row(s) successfully restarted";"%s строк начато заново";"S";"";"T";"N"
"To recipients";"Получателям";"S";"";"T";"N"
"Mail subject";"Тема сообщения";"S";"";"T";"N"
"Scheduled at";"Отправить в";"S";"";"T";"N"
"Last retry";"Последняя попытка";"S";"";"T";"N"
"Retry number";"Количество попыток";"S";"";"T";"N"
"Error message";"Ошибка";"S";"";"T";"N"
"Account name";"Регистрационное имя";"B";"";"T";"N"
"Server Date";"Дата сервера";"S";"";"T";"N"
"Server Time";"Время сервера";"S";"";"T";"N"
"Mail template not defined in database for class %s";"В базе данных не указан шаблон сообщения электронной почты для класса %s";"S";"";"T";"N"
"Recipients empty";"Не указаны получатели";"S";"";"T";"N"
"Body of mail not specified";"Тело сообщения не заполнено";"S";"";"T";"N"
"From address is empty";"Адрес отправителя не указан";"S";"";"T";"N"
"Failed to init mail headers";"Не удалось инициализировать почтовые заголовки";"S";"";"T";"N"
