"source";"translation";"type";"module";"status";"customer"
"Data 3";"Data 3";"B";"";"T";"N"
"Data 4";"Data 4";"B";"";"T";"N"
"Data 5";"Data 5";"B";"";"T";"N"
"Tracked by";"Tracked door";"B";"";"T";"N"
"Time";"Tijd";"B";"";"T";"N"
"Click data 1";"Klik data 1";"B";"";"T";"N"
"Click data 2";"Klik data 2";"B";"";"T";"N"
"unpaid";"onbetaald";"B";"";"T";"N"
"Username must be valid email address";"Gebruikersnaam moet geldig emailadres zijn";"S";"";"T";"N"
"You have to agree with terms & conditions";"U moet akkoord gaan met de algemene voorwaarden";"B";"";"T";"N"
"is mandatory";"is verplicht";"B";"";"T";"N"
"Payout settings saved";"Uitbetaalinstellingen opgeslagen";"S";"";"T";"N"
"Affiliate details";"Partner gegevens";"B";"";"T";"N"
"Date joined";"Datum aanmelding";"B";"";"T";"N"
"Date approved";"Datum goedgekeurd";"B";"";"T";"N"
"Parent";"Ouder";"S";"";"T";"N"
"Firstname";"Voornaam";"B";"";"T";"N"
"Lastname";"Achternaam";"B";"";"T";"N"
"Parent ID";"Ouder ID";"S";"";"T";"N"
"Parent username";"Ouder gebruikersnaam";"S";"";"T";"N"
"Parent first name";"Ouder voornaam";"S";"";"T";"N"
"Parent last name";"Ouder achternaam";"S";"";"T";"N"
"AffiliatesImportExportDescription";"Partner import / export beschrijving";"B";"";"T";"N"
"Status successfully set to selected url(s)";"Status succesvol ingesteld op geselecteerde URL(s)";"S";"";"T";"N"
"Failed to set status selected url(s)";"Fout om de status van geselecteerde URL (s) in te stellen";"S";"";"T";"N"
"Commission group";"Provisiegroep";"B";"";"T";"N"
"Selected commission group(s) are changed";"Geselecteerde provisiegroep(en) zijn gewijzigd";"S";"";"T";"N"
"Changes saved";"Wijzigingen opgeslagen";"S";"";"T";"N"
"Application Name";"Post Affiliate  Pro";"S";"";"T";"N"
"New password URL";"Nieuw wachtwoord URL";"S";"";"T";"N"
"Request valid until";"Verzoek geldig tot";"S";"";"T";"N"
"Request new password";"Een nieuw wachtwoord aanvragen";"B";"";"T";"N"
"Wrong username/password";"Verkeerde gebruikersnaam / wachtwoord";"S";"";"T";"N"
"Select account";"Account selecteren";"B";"";"T";"N"
"Authentication failed";"Verificatie mislukt";"S";"";"T";"N"
"User authenticated. Logging in.";"Gebruiker geverifieerd. Inloggen";"S";"";"T";"N"
"You entered invalid username";"U heeft een ongeldig gebruikersnaam ingegeven";"S";"";"T";"N"
"Within a few minutes you will receive instructions on how to reset your password.";"U ontvangt binnen enkele minuten een mail met instructies hoe u uw wachtwoord opnieuw insteld.";"S";"";"T";"N"
"Your password was changed. Go back to login dialog and login.";"Uw wachtwoord is gewijzigd. Ga terug naar de aanmeldschern en login.";"S";"";"T";"N"
"Logout error";"Afmelden fout";"S";"";"T";"N"
"Logout successful";"Afmelden geslaagd";"S";"";"T";"N"
"Invalid password request. You have to request again new password before trying to set password.";"Ongeldig wachtwoord verzoek. U moet opnieuw wachtwoord aanvragen voordat u het opnieuw probeerd.";"S";"";"T";"N"
"User account not approved yet";"Bebruikersaccount nog niet goedgekeurd";"S";"";"T";"N"
"Unsupported";"Niet ondersteund";"S";"";"T";"N"
